Dancing Queen, ABBA - Pop
Say My Name, Destiny’s Child - R&B/Soul
Karma Police, Radiohead - Alternative/Indie
Hotel Room Service, Pitbull - Pop/Dance
Killing Me Softly With His Song, Roberta Flack - Pop
The Boys are Back in Town, Thin Lizzy - Rock
Take Care, Drake - Hip-Hop/Rap
Let’s Get It On, Marvin Gaye - R&B/Soul
Sweater Weather, The Neighbourhood - Alternative rock/Indie
Symphony No.5, Beethoven - Classical
River, Joni Mitchell - Pop
Ooh La La, Faces - Rock
Eleanor Rigby, Beatles - Rock
Getting Older, Billie Eilish - Alternative/Indie
Habanera, Bizet - Folk
Winter From The Four Season, Antonio Vivaldi - Classical
Single Ladies, Beyonce. - Pop
Angel of Music, Phantom Of The Opera - Classical
Suite  Judy Blue Eyes, CSN - Rock
River Deep – Mountain High, Ike and Tina Turner - Soul
Für Elise, Bethoven - Classical
Jailhouse Rock, Elvis - Rocker
Shook Ones (Pt. II), Mobb Deep - Hip-Hop/Rap
…Baby One More Time, Britney - Pop
The Nutcracker, Op.71: XVa. Pas De deux: Intrada, Tchaikovsky - Classical
Young Americans, David Bowie - Rock
Signed, Sealed, Delivered, I’m Yours, Stevie Wonder - R&B/Soul
Your Song, Elton John - Rock
Ring of Fire, Johnny Cash - Country
Changes, David Bowie - Rock
Act II: Sugarplum Fairy, Tchaikovsky - Classical
Sexual Healing, Marvin Gaye - R&B/Soul
Crazy, Patsy Cline - Jazz
Nocturne, Chopin - Classical
Wild Horses, Rolling Stones - Rock
Mind Playing Tricks on Me, Geto Boys - Hip-Hop/Rap
Space Oddity, David Bowie - Rock
Little Wing, Hendrix - Rock
Beat It, Michael Jackson - Rock
Bad Guy, Billie Eilish - alternative/indie
Jump, Van Halen - Rockl
What a Wonderful World, Louis Armstrong - Jazz
Bach Preludes, Edward Stephen - Classical
Lose Yourself, Eminem - Hip Hop/Rap
Mr. Tambourine Man, Bob Dylan - Folk
Into the Groove, Madonna - Pop
Nightswimming, R.E.M. -  Rock
Rocket Man, Elton John - Rock
Jumpin’ Jack Flash,”Rolling Stones - Rock
Kiss it Better, Rihanna - R&B
No Woman No Cry, Bob Marley - Reggae
Vogue, Madonna - Pop
Heart of Glass, Blondie - Pop
Thank U, Next, Arianna Grande - Pop
She Loves You, Beatles - Rock
Fake smile, Ariana Grande - Pop
What’s Love Got to Do With It, Tina Turner - Pop
Don’t Stop Believin’, Journey - Rock
Hold On, We’re Going Home, Drake - Hip Hop/Rap
Remote Control, Kanye West - Hip Hop/Rap
